ID_Cliente,Cancelado,Genero,Adulto_Mayor,En_Pareja,Personas_a_Cargo,Meses_Permanencia,Servicio_Telefonico,Multiples_Lineas,Tipo_Internet,Seguridad_Online,Respaldo_Nube,Proteccion_Dispositivo,Soporte_Tecnico,TV_Streaming,Peliculas_Streaming,Tipo_Contrato,Factura_Digital,Metodo_Pago,Cargo_Mensual,Cargo_Total,cuentas_diarias
0002-ORFBO,0,Female,0,1,1,9,1,0,DSL,No,Yes,0,1,1,0,One year,1,Mailed check,65.6,593.3,9.044207317073171
0003-MKNFE,0,Male,0,0,0,9,1,1,DSL,No,No,0,0,0,1,Month-to-month,0,Mailed check,59.9,542.4,9.055091819699499
0004-TLHLJ,1,Male,0,0,0,4,1,0,Fiber optic,No,No,1,0,0,0,Month-to-month,1,Electronic check,73.9,280.85,3.800405953991881
0011-IGKFF,1,Male,1,1,0,13,1,0,Fiber optic,No,Yes,1,0,1,1,Month-to-month,1,Electronic check,98.0,1237.85,12.63112244897959
0013-EXCHZ,1,Female,1,1,0,3,1,0,Fiber optic,No,No,0,1,1,0,Month-to-month,1,Mailed check,83.9,267.4,3.187127532777115
0013-MHZWF,0,Female,0,0,1,9,1,0,DSL,No,No,0,1,1,1,Month-to-month,1,Credit card (automatic),69.4,571.45,8.23414985590778
0013-SMEOE,0,Female,1,1,0,71,1,0,Fiber optic,Yes,Yes,1,1,1,1,Two year,1,Bank transfer (automatic),109.7,7904.25,72.05332725615314
0014-BMAQU,0,Male,0,1,0,63,1,1,Fiber optic,Yes,No,0,1,0,0,Two year,1,Credit card (automatic),84.65,5377.8,63.52982870643827
0015-UOCOJ,0,Female,1,0,0,7,1,0,DSL,Yes,No,0,0,0,0,Month-to-month,1,Electronic check,48.2,340.35,7.0612033195020745
0016-QLJIS,0,Female,0,1,1,65,1,1,DSL,Yes,Yes,1,1,1,1,Two year,1,Mailed check,90.45,5957.9,65.86954118297402
0017-DINOC,0,Male,0,0,0,54,0,0,DSL,Yes,No,0,1,1,0,Two year,0,Credit card (automatic),45.2,2460.55,54.43694690265487
0017-IUDMW,0,Female,0,1,1,72,1,1,Fiber optic,Yes,Yes,1,1,1,1,Two year,1,Credit card (automatic),116.8,8456.75,72.40368150684931
0018-NYROU,0,Female,0,1,0,5,1,0,Fiber optic,No,No,0,0,0,0,Month-to-month,1,Electronic check,68.95,351.5,5.097897026831037
0019-EFAEP,0,Female,0,0,0,72,1,1,Fiber optic,Yes,Yes,1,0,1,0,Two year,1,Bank transfer (automatic),101.3,7261.25,71.68065153010859
0019-GFNTW,0,Female,0,0,0,56,0,0,DSL,Yes,Yes,1,1,0,0,Two year,0,Bank transfer (automatic),45.05,2560.1,56.827968923418425
0020-INWCK,0,Female,0,1,1,71,1,1,Fiber optic,No,Yes,1,0,0,1,Two year,1,Credit card (automatic),95.75,6849.4,71.53420365535247
0020-JDNXP,0,Female,0,1,1,34,0,0,DSL,Yes,No,1,1,1,1,One year,0,Mailed check,61.25,1993.2,32.542040816326534
0021-IKXGC,0,Female,1,0,0,1,1,1,Fiber optic,No,No,0,0,0,0,Month-to-month,1,Electronic check,72.1,72.1,1.0
0022-TCJCI,1,Male,1,0,0,45,1,0,DSL,Yes,No,1,0,0,1,One year,0,Credit card (automatic),62.7,2791.5,44.52153110047847
0023-HGHWL,1,Male,1,0,0,1,0,0,DSL,No,No,0,0,0,0,Month-to-month,1,Electronic check,25.1,25.1,1.0
0023-UYUPN,0,Female,1,1,0,50,1,1,No,No,No,0,0,0,0,One year,0,Electronic check,25.2,1306.3,51.83730158730159
0023-XUOPT,1,Female,0,1,0,13,1,1,Fiber optic,No,Yes,1,0,1,0,Month-to-month,0,Electronic check,94.1,1215.6,12.91817215727949
0027-KWYKW,0,Female,0,1,1,23,1,1,Fiber optic,No,No,0,0,1,0,Month-to-month,1,Electronic check,83.75,1849.95,22.088955223880596
0030-FNXPP,0,Female,0,0,0,3,1,0,No,No,No,0,0,0,0,Month-to-month,0,Mailed check,19.85,57.2,2.881612090680101
0031-PVLZI,1,Female,0,1,1,4,1,0,No,No,No,0,0,0,0,Month-to-month,0,Mailed check,20.35,76.35,3.7518427518427515
0032-PGELS,1,Female,0,1,1,1,0,0,DSL,Yes,No,0,0,0,0,Month-to-month,0,Bank transfer (automatic),30.5,30.5,1.0
0036-IHMOT,0,Female,0,1,1,55,1,0,Fiber optic,No,Yes,1,1,1,1,One year,1,Bank transfer (automatic),103.7,5656.75,54.549180327868854
0040-HALCW,0,Male,0,1,1,54,1,0,No,No,No,0,0,0,0,Two year,0,Credit card (automatic),20.4,1090.6,53.46078431372549
0042-JVWOJ,0,Male,0,0,0,26,1,0,No,No,No,0,0,0,0,One year,1,Bank transfer (automatic),19.6,471.85,24.073979591836736
0042-RLHYP,0,Female,0,1,1,69,1,0,No,No,No,0,0,0,0,Two year,0,Bank transfer (automatic),19.7,1396.9,70.90862944162437
0047-ZHDTW,0,Female,0,0,0,11,1,1,Fiber optic,Yes,No,0,0,0,0,Month-to-month,1,Bank transfer (automatic),79.0,929.3,11.763291139240506
0048-LUMLS,0,Male,0,1,1,37,1,0,Fiber optic,No,No,0,0,1,1,One year,0,Credit card (automatic),91.2,3247.55,35.609100877192986
0048-PIHNL,0,Female,0,1,0,49,1,0,No,No,No,0,0,0,0,One year,0,Bank transfer (automatic),20.45,900.9,44.053789731051346
0052-DCKON,0,Male,0,1,0,66,1,1,Fiber optic,Yes,Yes,1,1,1,1,One year,0,Bank transfer (automatic),115.8,7942.15,68.58506044905009
0052-YNYOT,0,Female,0,0,0,67,1,0,No,No,No,0,0,0,0,One year,0,Electronic check,20.55,1343.4,65.37226277372262
0056-EPFBG,0,Male,0,1,1,20,0,0,DSL,Yes,No,1,1,0,0,Two year,1,Credit card (automatic),39.4,825.4,20.949238578680202
0057-QBUQH,0,Female,0,0,1,43,1,1,No,No,No,0,0,0,0,Two year,1,Electronic check,25.1,1070.15,42.635458167330675
0058-EVZWM,0,Female,0,1,0,55,1,1,Fiber optic,Yes,No,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.8,4959.6,55.22939866369711
0060-FUALY,0,Female,0,1,0,59,1,1,Fiber optic,Yes,Yes,0,0,1,0,Month-to-month,1,Electronic check,94.75,5597.65,59.07810026385224
0064-SUDOG,0,Female,0,1,1,12,1,0,No,No,No,0,0,0,0,Two year,0,Bank transfer (automatic),20.3,224.5,11.05911330049261
0064-YIJGF,0,Male,0,1,1,27,1,1,Fiber optic,No,No,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.75,1929.0,25.465346534653467
0067-DKWBL,1,Male,1,0,0,2,1,0,DSL,Yes,No,0,0,0,0,Month-to-month,1,Electronic check,49.25,91.1,1.849746192893401
0068-FIGTF,0,Female,0,0,0,27,1,0,DSL,No,Yes,1,1,1,1,One year,0,Mailed check,78.2,2078.95,26.585038363171353
0071-NDAFP,0,Male,0,1,1,25,1,1,No,No,No,0,0,0,0,Two year,0,Credit card (automatic),25.5,630.6,24.729411764705883
0074-HDKDG,0,Male,0,1,1,25,1,0,DSL,Yes,Yes,1,0,0,0,One year,1,Bank transfer (automatic),61.6,1611.0,26.1525974025974
0076-LVEPS,0,Male,0,0,1,29,0,0,DSL,Yes,Yes,1,1,0,0,Month-to-month,1,Mailed check,45.0,1242.45,27.61
0078-XZMHT,0,Male,0,1,0,72,1,1,DSL,No,Yes,1,1,1,1,Two year,1,Bank transfer (automatic),85.15,6316.2,74.17733411626541
0080-EMYVY,0,Female,0,0,0,14,1,0,DSL,No,Yes,0,0,0,0,One year,0,Credit card (automatic),51.45,727.85,14.146744412050534
0080-OROZO,0,Female,0,0,0,35,1,0,Fiber optic,No,No,1,1,1,1,One year,1,Electronic check,99.25,3532.0,35.58690176322418
0082-LDZUE,0,Male,0,0,0,1,1,0,DSL,No,No,0,0,0,0,Month-to-month,1,Mailed check,44.3,44.3,1.0
0082-OQIQY,0,Male,0,0,0,29,1,0,Fiber optic,No,No,0,1,1,1,Month-to-month,1,Electronic check,94.2,2607.6,27.68152866242038
0083-PIVIK,0,Male,0,0,0,64,1,1,DSL,Yes,Yes,1,1,1,0,One year,0,Electronic check,81.25,5567.55,68.52369230769231
0089-IIQKO,0,Female,0,1,1,39,1,1,Fiber optic,No,No,0,1,1,1,Month-to-month,1,Credit card (automatic),99.95,3767.4,37.692846423211606
0093-EXYQL,0,Female,1,0,0,40,1,0,Fiber optic,No,No,0,0,1,1,Month-to-month,1,Electronic check,91.55,3673.6,40.12670671764064
0093-XWZFY,1,Male,0,0,0,40,1,1,Fiber optic,No,Yes,1,0,1,1,Month-to-month,1,Credit card (automatic),104.5,4036.85,38.630143540669856
0094-OIFMO,1,Female,1,0,0,11,1,0,Fiber optic,No,Yes,0,0,1,1,Month-to-month,1,Electronic check,95.0,1120.3,11.792631578947368
0096-BXERS,0,Female,0,1,0,6,1,1,DSL,No,No,0,0,0,0,Month-to-month,0,Electronic check,50.35,314.55,6.247269116186693
0096-FCPUF,0,Male,0,0,0,30,1,1,DSL,Yes,No,0,0,0,1,Month-to-month,1,Mailed check,64.5,1888.45,29.27829457364341
0098-BOWSO,0,Male,0,0,0,27,1,0,No,No,No,0,0,0,0,Month-to-month,1,Electronic check,19.4,529.8,27.309278350515463
0100-DUVFC,0,Male,1,1,0,70,1,1,Fiber optic,No,Yes,1,0,1,1,One year,1,Electronic check,104.8,7308.95,69.7418893129771
0103-CSITQ,0,Female,0,1,0,57,1,1,Fiber optic,No,Yes,1,1,1,1,One year,1,Bank transfer (automatic),109.4,6252.7,57.154478976233996
0104-PPXDV,0,Male,0,1,0,58,1,0,DSL,No,No,1,0,0,0,One year,0,Credit card (automatic),50.3,2878.55,57.22763419483102
0106-GHRQR,0,Male,0,0,0,16,1,1,DSL,No,Yes,1,0,0,1,Month-to-month,1,Bank transfer (automatic),71.4,1212.1,16.976190476190474
